 time            v(finalp)       v(finaln)      
 0.00000000e+00  2.71588769e+00  2.71588769e+00 
 2.50000000e-15  2.71588769e+00  2.71588769e+00 
 5.00000000e-15  2.71588769e+00  2.71588769e+00 
 1.00000000e-14  2.71588769e+00  2.71588769e+00 
 2.00000000e-14  2.71588769e+00  2.71588769e+00 
 4.00000000e-14  2.71588769e+00  2.71588769e+00 
 8.00000000e-14  2.71588769e+00  2.71588769e+00 
 1.60000000e-13  2.71588769e+00  2.71588769e+00 
 3.20000000e-13  2.71588769e+00  2.71588769e+00 
 5.70000000e-13  2.71588769e+00  2.71588769e+00 
 8.20000000e-13  2.71588769e+00  2.71588769e+00 
 1.07000000e-12  2.71588769e+00  2.71588769e+00 
 1.32000000e-12  2.71588769e+00  2.71588769e+00 
 1.57000000e-12  2.71588769e+00  2.71588769e+00 
 1.82000000e-12  2.71588769e+00  2.71588769e+00 
 2.07000000e-12  2.71588769e+00  2.71588769e+00 
 2.32000000e-12  2.71588769e+00  2.71588769e+00 
 2.57000000e-12  2.71588769e+00  2.71588769e+00 
 2.82000000e-12  2.71588769e+00  2.71588769e+00 
 3.07000000e-12  2.71588769e+00  2.71588769e+00 
 3.32000000e-12  2.71588769e+00  2.71588769e+00 
 3.57000000e-12  2.71588769e+00  2.71588769e+00 
 3.82000000e-12  2.71588769e+00  2.71588769e+00 
 4.07000000e-12  2.71588769e+00  2.71588769e+00 
 4.32000000e-12  2.71588769e+00  2.71588769e+00 
 4.57000000e-12  2.71588769e+00  2.71588769e+00 
 4.82000000e-12  2.71588769e+00  2.71588769e+00 
 5.07000000e-12  2.71588769e+00  2.71588769e+00 
 5.32000000e-12  2.71588769e+00  2.71588769e+00 
 5.57000000e-12  2.71588769e+00  2.71588769e+00 
 5.82000000e-12  2.71588769e+00  2.71588769e+00 
 6.07000000e-12  2.71588769e+00  2.71588769e+00 
 6.32000000e-12  2.71588769e+00  2.71588769e+00 
 6.57000000e-12  2.71588769e+00  2.71588769e+00 
 6.82000000e-12  2.71588769e+00  2.71588769e+00 
 7.07000000e-12  2.71588769e+00  2.71588769e+00 
 7.32000000e-12  2.71588769e+00  2.71588769e+00 
 7.57000000e-12  2.71588769e+00  2.71588769e+00 
 7.82000000e-12  2.71588769e+00  2.71588769e+00 
 8.07000000e-12  2.71588769e+00  2.71588769e+00 
 8.32000000e-12  2.71588769e+00  2.71588769e+00 
 8.57000000e-12  2.71588769e+00  2.71588769e+00 
 8.82000000e-12  2.71588769e+00  2.71588769e+00 
 9.07000000e-12  2.71588769e+00  2.71588769e+00 
 9.32000000e-12  2.71588769e+00  2.71588769e+00 
 9.57000000e-12  2.71588769e+00  2.71588769e+00 
 9.82000000e-12  2.71588769e+00  2.71588769e+00 
 1.00700000e-11  2.71588769e+00  2.71588769e+00 
 1.03200000e-11  2.71588769e+00  2.71588769e+00 
 1.05700000e-11  2.71588769e+00  2.71588769e+00 
 1.08200000e-11  2.71588769e+00  2.71588769e+00 
 1.10700000e-11  2.71588769e+00  2.71588769e+00 
 1.13200000e-11  2.71588769e+00  2.71588769e+00 
 1.15700000e-11  2.71588769e+00  2.71588769e+00 
 1.18200000e-11  2.71588769e+00  2.71588769e+00 
 1.20700000e-11  2.71588769e+00  2.71588769e+00 
 1.23200000e-11  2.71588769e+00  2.71588769e+00 
 1.25700000e-11  2.71588769e+00  2.71588769e+00 
 1.28200000e-11  2.71588769e+00  2.71588769e+00 
 1.30700000e-11  2.71588769e+00  2.71588769e+00 
 1.33200000e-11  2.71588769e+00  2.71588769e+00 
 1.35700000e-11  2.71588769e+00  2.71588769e+00 
 1.38200000e-11  2.71588769e+00  2.71588769e+00 
 1.40700000e-11  2.71588769e+00  2.71588769e+00 
 1.43200000e-11  2.71588769e+00  2.71588769e+00 
 1.45700000e-11  2.71588769e+00  2.71588769e+00 
 1.48200000e-11  2.71588769e+00  2.71588769e+00 
 1.50700000e-11  2.71588769e+00  2.71588769e+00 
 1.53200000e-11  2.71588769e+00  2.71588769e+00 
 1.55700000e-11  2.71588769e+00  2.71588769e+00 
 1.58200000e-11  2.71588769e+00  2.71588769e+00 
 1.60700000e-11  2.71588769e+00  2.71588769e+00 
 1.63200000e-11  2.71588769e+00  2.71588769e+00 
 1.65700000e-11  2.71588769e+00  2.71588769e+00 
 1.68200000e-11  2.71588769e+00  2.71588769e+00 
 1.70700000e-11  2.71588769e+00  2.71588769e+00 
 1.73200000e-11  2.71588769e+00  2.71588769e+00 
 1.75700000e-11  2.71588769e+00  2.71588769e+00 
 1.78200000e-11  2.71588769e+00  2.71588769e+00 
 1.80700000e-11  2.71588769e+00  2.71588769e+00 
 1.83200000e-11  2.71588769e+00  2.71588769e+00 
 1.85700000e-11  2.71588769e+00  2.71588769e+00 
 1.88200000e-11  2.71588769e+00  2.71588769e+00 
 1.90700000e-11  2.71588769e+00  2.71588769e+00 
 1.93200000e-11  2.71588769e+00  2.71588769e+00 
 1.95700000e-11  2.71588769e+00  2.71588769e+00 
 1.98200000e-11  2.71588769e+00  2.71588769e+00 
 2.00700000e-11  2.71588769e+00  2.71588769e+00 
 2.03200000e-11  2.71588769e+00  2.71588769e+00 
 2.05700000e-11  2.71588769e+00  2.71588769e+00 
